budget_encoded,company_size_encoded,deadline_encoded,service_website,service_ecommerce,service_mobile_app,service_branding,service_seo,contact_email,contact_whatsapp,contact_phone,contact_social_media,hour_of_day,day_of_week,month_of_year,is_business_hours,message_length,avg_word_length,sentence_count,exclamation_count,question_count,has_budget_mentioned,has_deadline_mentioned,has_phone_mentioned,has_company_mentioned,professionalism_score,sentiment_score,converted
0,0,1,False,False,False,False,True,False,False,True,False,18,4,5,1,10,5.0,2,0,1,0,0,0,0,0.1,0.5,0
2,2,2,False,False,False,False,True,True,False,False,False,18,4,8,1,29,5.758620689655173,3,0,0,1,0,0,0,0.35896551724137926,0.60115,1
1,0,0,False,False,True,False,False,False,True,False,False,18,0,2,1,11,5.545454545454546,2,0,1,0,0,0,0,0.11,0.5,0
1,1,2,False,False,False,True,False,False,True,False,False,18,2,5,1,35,4.685714285714286,3,0,0,0,1,0,0,0.3857142857142857,0.6366,0
0,2,2,False,True,False,False,False,True,False,False,False,18,6,2,0,34,5.117647058823529,4,0,1,0,0,0,0,0.41764705882352937,0.60115,0
0,0,1,True,False,False,False,False,False,True,False,False,18,3,9,1,10,4.8,2,0,1,0,0,0,0,0.1,0.5,0
3,2,1,True,False,False,False,False,False,True,False,False,18,0,7,1,34,5.147058823529412,3,0,1,0,0,0,0,0.3588235294117647,0.5,0
2,0,1,False,False,False,True,False,False,False,True,False,18,1,2,1,17,5.764705882352941,2,0,1,0,0,0,0,0.17,0.81845,0
3,1,1,False,False,False,False,True,False,False,True,False,18,0,1,1,40,5.075,4,0,1,1,0,0,0,0.325,0.4614,1
0,0,2,False,False,False,True,False,False,True,False,False,18,5,2,0,22,4.454545454545454,2,0,0,0,0,0,0,0.22,0.648,0
2,3,2,False,False,False,False,True,False,False,True,False,18,3,6,1,22,4.7272727272727275,3,0,1,0,0,0,0,0.22,0.5,0
2,2,0,False,False,False,False,True,False,False,True,False,18,5,2,0,34,4.617647058823529,3,0,1,1,1,0,0,0.38823529411764707,0.2958,1
